country_code,year,gdp_per_capita,inflation,unemployment,gdp_growth,fiscal_balance,current_account
ARG,1990,4315.33403111588,,,-2.46721377810472,-0.107803024709003,3.22031448392387
ARG,1991,5709.24784079504,,5.44,9.13311056738961,-0.229466322749109,-0.341028912950146
ARG,1992,6789.99611136495,,6.36,7.93729155643076,0.264562866283836,-2.42494134682425
ARG,1993,6931.85596375876,,10.1,8.20697907221228,0.483203369491258,-3.46617829462144
ARG,1994,7437.56242327594,,11.76,5.83620070368526,-0.32605655686762,-4.26485898465452
ARG,1995,7357.6162773788,,18.8,-2.84520961057079,-1.71796687810705,-1.98346027350929
ARG,1996,7663.21271287469,,17.11,5.52668982715234,-2.33400912549065,-2.4875930110115
ARG,1997,8146.78710021431,,14.82,8.1110467707457,-1.65752119620705,-4.14468006629108
ARG,1998,8218.99212764682,,12.65,3.85017885156228,-1.58616081545886,-4.84431604541957
ARG,1999,7705.54288252851,,14.05,-3.38545704063269,-2.92441883021836,-4.21229506178183
ARG,2000,7637.01489203628,,15.0,-0.78899893905691,-2.77220128165093,-3.15992237703676
ARG,2001,7141.47507662826,,17.32,-4.40883968258557,-3.31954145332982,-1.40694788500181
ARG,2002,2569.69963519124,,19.59,-10.8944848285903,-5.70628319150298,8.97078467784247
ARG,2003,3320.47775133903,,15.36,8.83704079576924,-2.82936804297577,6.37990680177011
ARG,2004,4242.02099089422,,13.522,9.02957330068152,-0.425276316786125,1.95058324319273
ARG,2005,5067.65342293276,,11.506,8.85165992013437,,2.65363142179073
ARG,2006,5869.38028970204,,10.078,8.04715150043027,,2.79449564264943
ARG,2007,7185.25155147027,,8.47,9.00765087504757,,2.1036160391819
ARG,2008,8944.1102657357,,7.837,4.05723310346406,,1.49940141614234
ARG,2009,8150.23527028221,,8.645,-5.91852507634947,,2.1785669619099
ARG,2010,10260.1313108254,,7.714,10.1253981561002,,-0.383118699737132
ARG,2011,12704.2831819684,,7.18,6.00395169280579,,-1.00728084144866
ARG,2012,12949.717486654,,7.217,-1.0264204544321,,-0.39159512386959
ARG,2013,12963.675773326,,7.1,2.40532378079436,,-2.37749566620572
ARG,2014,12233.1444119186,,7.268,-2.51261532081394,-2.90614606577065,-1.74400211981355
ARG,2015,13679.6264980954,,7.577,2.73115982828944,-3.39011034719535,-2.96292666513533
ARG,2016,12699.9623137756,,8.088,-2.08032784377811,-5.33377782706346,-2.70922168361454
ARG,2017,14532.5009308511,,8.347,2.81850297775918,-5.51824569508007,-4.8399592180739
ARG,2018,11752.7998922979,34.2772237131003,9.22,-2.61739646282038,-5.33635226717988,-5.16055257152295
ARG,2019,9955.97478680428,53.5483043492339,9.843,-2.00086100285785,-4.92889704924096,-0.779998447561847
ARG,2020,8535.59938004389,42.0150947376509,11.461,-9.9004848136464,-8.6954919523039,0.696935361136029
ARG,2021,10738.0179223384,48.4093786255199,8.736,10.4418119882506,-4.37239542495983,1.36154422203441
ARG,2022,13962.1894087223,72.430757531824,6.805,6.02074537534855,-4.42708731934181,-0.62525456692328
