country_code,quarter,unemployment_rate
CAN,2020-Q1,6.6
CAN,2020-Q2,13.5
CAN,2020-Q3,10.03
CAN,2020-Q4,8.83
CAN,2021-Q1,8.47
CAN,2021-Q2,8.13
CAN,2021-Q3,7.17
CAN,2021-Q4,6.17
CAN,2022-Q1,5.77
CAN,2022-Q2,5.17
CAN,2022-Q3,5.03
CAN,2022-Q4,5.03
CAN,2023-Q1,5.13
CAN,2023-Q2,5.23
CAN,2023-Q3,5.43
CAN,2023-Q4,5.77
CAN,2024-Q1,5.9
CAN,2024-Q2,6.3
CAN,2024-Q3,6.5
CAN,2024-Q4,6.77
CAN,2025-Q1,6.7
CAN,2025-Q2,6.93
CAN,2025-Q3,7.03
CAN,2025-Q4,6.77
CAN,2026-Q1,6.63
DEU,2000-Q1,8.13
DEU,2000-Q2,8.0
DEU,2000-Q3,7.9
DEU,2000-Q4,7.77
DEU,2001-Q1,7.67
DEU,2001-Q2,7.67
DEU,2001-Q3,7.83
DEU,2001-Q4,8.03
DEU,2002-Q1,8.17
DEU,2002-Q2,8.4
DEU,2002-Q3,8.73
DEU,2002-Q4,9.1
DEU,2003-Q1,9.5
DEU,2003-Q2,9.73
DEU,2003-Q3,9.8
DEU,2003-Q4,9.8
DEU,2004-Q1,10.07
DEU,2004-Q2,10.3
DEU,2004-Q3,10.37
DEU,2004-Q4,10.6
DEU,2005-Q1,10.83
DEU,2005-Q2,11.2
DEU,2005-Q3,11.17
DEU,2005-Q4,10.87
DEU,2006-Q1,10.53
DEU,2006-Q2,10.2
DEU,2006-Q3,9.9
DEU,2006-Q4,9.57
DEU,2007-Q1,9.07
DEU,2007-Q2,8.6
DEU,2007-Q3,8.43
DEU,2007-Q4,8.2
DEU,2008-Q1,7.9
DEU,2008-Q2,7.53
DEU,2008-Q3,7.13
DEU,2008-Q4,7.03
DEU,2009-Q1,7.2
DEU,2009-Q2,7.47
DEU,2009-Q3,7.53
DEU,2009-Q4,7.27
DEU,2010-Q1,7.0
DEU,2010-Q2,6.7
DEU,2010-Q3,6.43
DEU,2010-Q4,6.2
DEU,2011-Q1,5.87
DEU,2011-Q2,5.57
DEU,2011-Q3,5.43
DEU,2011-Q4,5.23
DEU,2012-Q1,5.1
DEU,2012-Q2,5.1
DEU,2012-Q3,5.03
DEU,2012-Q4,5.0
DEU,2013-Q1,5.07
DEU,2013-Q2,4.97
DEU,2013-Q3,4.9
DEU,2013-Q4,4.8
DEU,2014-Q1,4.8
DEU,2014-Q2,4.73
DEU,2014-Q3,4.7
DEU,2014-Q4,4.63
DEU,2015-Q1,4.5
DEU,2015-Q2,4.4
DEU,2015-Q3,4.3
DEU,2015-Q4,4.2
DEU,2016-Q1,4.07
DEU,2016-Q2,4.0
DEU,2016-Q3,3.87
DEU,2016-Q4,3.7
DEU,2017-Q1,3.63
DEU,2017-Q2,3.57
DEU,2017-Q3,3.47
DEU,2017-Q4,3.4
DEU,2018-Q1,3.3
DEU,2018-Q2,3.2
DEU,2018-Q3,3.17
DEU,2018-Q4,3.1
DEU,2019-Q1,3.0
DEU,2019-Q2,2.9
DEU,2019-Q3,2.9
DEU,2019-Q4,3.0
DEU,2020-Q1,3.3
DEU,2020-Q2,3.67
DEU,2020-Q3,3.83
DEU,2020-Q4,3.8
DEU,2021-Q1,3.9
DEU,2021-Q2,3.7
DEU,2021-Q3,3.43
DEU,2021-Q4,3.4
DEU,2022-Q1,3.23
DEU,2022-Q2,3.1
DEU,2022-Q3,3.13
DEU,2022-Q4,3.1
DEU,2023-Q1,3.0
DEU,2023-Q2,3.0
DEU,2023-Q3,3.1
DEU,2023-Q4,3.17
DEU,2024-Q1,3.23
DEU,2024-Q2,3.37
DEU,2024-Q3,3.4
DEU,2024-Q4,3.43
DEU,2025-Q1,3.57
DEU,2025-Q2,3.7
DEU,2025-Q3,3.83
DEU,2025-Q4,3.93
DEU,2026-Q1,4.0
ESP,2000-Q1,12.47
ESP,2000-Q2,11.93
ESP,2000-Q3,11.8
ESP,2000-Q4,11.47
ESP,2001-Q1,10.67
ESP,2001-Q2,10.5
ESP,2001-Q3,10.53
ESP,2001-Q4,10.6
ESP,2002-Q1,11.27
ESP,2002-Q2,11.27
ESP,2002-Q3,11.73
ESP,2002-Q4,11.6
ESP,2003-Q1,11.67
ESP,2003-Q2,11.4
ESP,2003-Q3,11.53
ESP,2003-Q4,11.37
ESP,2004-Q1,11.2
ESP,2004-Q2,11.2
ESP,2004-Q3,10.97
ESP,2004-Q4,10.53
ESP,2005-Q1,9.9
ESP,2005-Q2,9.4
ESP,2005-Q3,8.63
ESP,2005-Q4,8.7
ESP,2006-Q1,8.73
ESP,2006-Q2,8.5
ESP,2006-Q3,8.27
ESP,2006-Q4,8.27
ESP,2007-Q1,8.2
ESP,2007-Q2,7.97
ESP,2007-Q3,8.23
ESP,2007-Q4,8.6
ESP,2008-Q1,9.3
ESP,2008-Q2,10.4
ESP,2008-Q3,11.53
ESP,2008-Q4,13.83
ESP,2009-Q1,16.73
ESP,2009-Q2,17.87
ESP,2009-Q3,18.2
ESP,2009-Q4,18.73
ESP,2010-Q1,19.23
ESP,2010-Q2,19.97
ESP,2010-Q3,20.0
ESP,2010-Q4,20.23
ESP,2011-Q1,20.5
ESP,2011-Q2,20.77
ESP,2011-Q3,21.73
ESP,2011-Q4,22.63
ESP,2012-Q1,23.57
ESP,2012-Q2,24.53
ESP,2012-Q3,25.23
ESP,2012-Q4,25.87
ESP,2013-Q1,26.3
ESP,2013-Q2,26.2
ESP,2013-Q3,26.1
ESP,2013-Q4,25.8
ESP,2014-Q1,25.3
ESP,2014-Q2,24.63
ESP,2014-Q3,24.13
ESP,2014-Q4,23.8
ESP,2015-Q1,23.13
ESP,2015-Q2,22.5
ESP,2015-Q3,21.63
ESP,2015-Q4,21.0
ESP,2016-Q1,20.4
ESP,2016-Q2,20.13
ESP,2016-Q3,19.3
ESP,2016-Q4,18.73
ESP,2017-Q1,18.2
ESP,2017-Q2,17.37
ESP,2017-Q3,16.77
ESP,2017-Q4,16.67
ESP,2018-Q1,16.17
ESP,2018-Q2,15.47
ESP,2018-Q3,14.83
ESP,2018-Q4,14.57
ESP,2019-Q1,14.23
ESP,2019-Q2,14.23
ESP,2019-Q3,14.1
ESP,2019-Q4,13.9
ESP,2020-Q1,13.97
ESP,2020-Q2,15.6
ESP,2020-Q3,16.37
ESP,2020-Q4,16.23
ESP,2021-Q1,15.7
ESP,2021-Q2,15.67
ESP,2021-Q3,14.8
ESP,2021-Q4,13.57
ESP,2022-Q1,13.27
ESP,2022-Q2,13.0
ESP,2022-Q3,12.83
ESP,2022-Q4,13.17
ESP,2023-Q1,12.83
ESP,2023-Q2,12.0
ESP,2023-Q3,12.0
ESP,2023-Q4,11.97
ESP,2024-Q1,11.77
ESP,2024-Q2,11.57
ESP,2024-Q3,11.27
ESP,2024-Q4,10.83
ESP,2025-Q1,10.83
ESP,2025-Q2,10.53
ESP,2025-Q3,10.5
ESP,2025-Q4,10.2
ESP,2026-Q1,10.27
FRA,2000-Q1,9.63
FRA,2000-Q2,9.3
FRA,2000-Q3,9.0
FRA,2000-Q4,8.77
FRA,2001-Q1,8.57
FRA,2001-Q2,8.5
FRA,2001-Q3,8.4
FRA,2001-Q4,8.37
FRA,2002-Q1,8.2
FRA,2002-Q2,8.2
FRA,2002-Q3,8.3
FRA,2002-Q4,8.4
FRA,2003-Q1,8.3
FRA,2003-Q2,8.5
FRA,2003-Q3,8.43
FRA,2003-Q4,8.83
FRA,2004-Q1,8.9
FRA,2004-Q2,8.8
FRA,2004-Q3,8.87
FRA,2004-Q4,8.97
FRA,2005-Q1,8.63
FRA,2005-Q2,8.8
FRA,2005-Q3,9.0
FRA,2005-Q4,9.1
FRA,2006-Q1,9.17
FRA,2006-Q2,8.93
FRA,2006-Q3,8.93
FRA,2006-Q4,8.37
FRA,2007-Q1,8.47
FRA,2007-Q2,8.13
FRA,2007-Q3,8.0
FRA,2007-Q4,7.5
FRA,2008-Q1,7.1
FRA,2008-Q2,7.33
FRA,2008-Q3,7.5
FRA,2008-Q4,7.8
FRA,2009-Q1,8.6
FRA,2009-Q2,9.17
FRA,2009-Q3,9.2
FRA,2009-Q4,9.53
FRA,2010-Q1,9.4
FRA,2010-Q2,9.27
FRA,2010-Q3,9.2
FRA,2010-Q4,9.2
FRA,2011-Q1,9.17
FRA,2011-Q2,9.13
FRA,2011-Q3,9.2
FRA,2011-Q4,9.37
FRA,2012-Q1,9.5
FRA,2012-Q2,9.7
FRA,2012-Q3,9.73
FRA,2012-Q4,10.2
FRA,2013-Q1,10.4
FRA,2013-Q2,10.43
FRA,2013-Q3,10.23
FRA,2013-Q4,10.17
FRA,2014-Q1,10.2
FRA,2014-Q2,10.13
FRA,2014-Q3,10.23
FRA,2014-Q4,10.47
FRA,2015-Q1,10.37
FRA,2015-Q2,10.43
FRA,2015-Q3,10.3
FRA,2015-Q4,10.27
FRA,2016-Q1,10.3
FRA,2016-Q2,10.0
FRA,2016-Q3,9.87
FRA,2016-Q4,10.07
FRA,2017-Q1,9.63
FRA,2017-Q2,9.5
FRA,2017-Q3,9.47
FRA,2017-Q4,9.03
FRA,2018-Q1,9.27
FRA,2018-Q2,9.1
FRA,2018-Q3,8.93
FRA,2018-Q4,8.77
FRA,2019-Q1,8.73
FRA,2019-Q2,8.5
FRA,2019-Q3,8.3
FRA,2019-Q4,8.2
FRA,2020-Q1,7.87
FRA,2020-Q2,7.3
FRA,2020-Q3,8.87
FRA,2020-Q4,8.07
FRA,2021-Q1,8.17
FRA,2021-Q2,8.03
FRA,2021-Q3,7.83
FRA,2021-Q4,7.43
FRA,2022-Q1,7.37
FRA,2022-Q2,7.5
FRA,2022-Q3,7.2
FRA,2022-Q4,7.17
FRA,2023-Q1,7.1
FRA,2023-Q2,7.3
FRA,2023-Q3,7.4
FRA,2023-Q4,7.53
FRA,2024-Q1,7.47
FRA,2024-Q2,7.4
FRA,2024-Q3,7.43
FRA,2024-Q4,7.27
FRA,2025-Q1,7.47
FRA,2025-Q2,7.57
FRA,2025-Q3,7.73
FRA,2025-Q4,7.87
FRA,2026-Q1,7.73
GBR,2000-Q1,5.8
GBR,2000-Q2,5.5
GBR,2000-Q3,5.3
GBR,2000-Q4,5.2
GBR,2001-Q1,5.1
GBR,2001-Q2,5.0
GBR,2001-Q3,5.1
GBR,2001-Q4,5.2
GBR,2002-Q1,5.2
GBR,2002-Q2,5.2
GBR,2002-Q3,5.3
GBR,2002-Q4,5.1
GBR,2003-Q1,5.2
GBR,2003-Q2,4.9
GBR,2003-Q3,5.0
GBR,2003-Q4,4.9
GBR,2004-Q1,4.8
GBR,2004-Q2,4.8
GBR,2004-Q3,4.7
GBR,2004-Q4,4.7
GBR,2005-Q1,4.7
GBR,2005-Q2,4.8
GBR,2005-Q3,4.7
GBR,2005-Q4,5.1
GBR,2006-Q1,5.2
GBR,2006-Q2,5.5
GBR,2006-Q3,5.5
GBR,2006-Q4,5.5
GBR,2007-Q1,5.5
GBR,2007-Q2,5.4
GBR,2007-Q3,5.3
GBR,2007-Q4,5.2
GBR,2008-Q1,5.2
GBR,2008-Q2,5.4
GBR,2008-Q3,5.9
GBR,2008-Q4,6.4
GBR,2009-Q1,7.1
GBR,2009-Q2,7.8
GBR,2009-Q3,7.8
GBR,2009-Q4,7.8
GBR,2010-Q1,8.0
GBR,2010-Q2,7.9
GBR,2010-Q3,7.8
GBR,2010-Q4,7.9
GBR,2011-Q1,7.8
GBR,2011-Q2,7.9
GBR,2011-Q3,8.3
GBR,2011-Q4,8.4
GBR,2012-Q1,8.2
GBR,2012-Q2,8.0
GBR,2012-Q3,7.8
GBR,2012-Q4,7.8
GBR,2013-Q1,7.8
GBR,2013-Q2,7.7
GBR,2013-Q3,7.6
GBR,2013-Q4,7.2
GBR,2014-Q1,6.7
GBR,2014-Q2,6.3
GBR,2014-Q3,6.0
GBR,2014-Q4,5.7
GBR,2015-Q1,5.5
GBR,2015-Q2,5.6
GBR,2015-Q3,5.3
GBR,2015-Q4,5.1
GBR,2016-Q1,5.1
GBR,2016-Q2,4.9
GBR,2016-Q3,4.8
GBR,2016-Q4,4.7
GBR,2017-Q1,4.6
GBR,2017-Q2,4.4
GBR,2017-Q3,4.3
GBR,2017-Q4,4.4
GBR,2018-Q1,4.2
GBR,2018-Q2,4.0
GBR,2018-Q3,4.1
GBR,2018-Q4,4.0
GBR,2019-Q1,3.8
GBR,2019-Q2,3.9
GBR,2019-Q3,3.9
GBR,2019-Q4,3.7
GBR,2020-Q1,4.1
GBR,2020-Q2,4.1
GBR,2020-Q3,5.0
GBR,2020-Q4,5.3
GBR,2021-Q1,4.9
GBR,2021-Q2,4.7
GBR,2021-Q3,4.4
GBR,2021-Q4,4.2
GBR,2022-Q1,3.8
GBR,2022-Q2,3.8
GBR,2022-Q3,3.7
GBR,2022-Q4,3.9
GBR,2023-Q1,4.0
GBR,2023-Q2,4.2
GBR,2023-Q3,4.1
GBR,2023-Q4,3.9
GBR,2024-Q1,4.3
GBR,2024-Q2,4.2
GBR,2024-Q3,4.3
GBR,2024-Q4,4.4
GBR,2025-Q1,4.5
GBR,2025-Q2,4.7
GBR,2025-Q3,5.0
GBR,2025-Q4,5.2
ITA,2000-Q1,10.57
ITA,2000-Q2,10.27
ITA,2000-Q3,9.97
ITA,2000-Q4,9.6
ITA,2001-Q1,9.37
ITA,2001-Q2,9.13
ITA,2001-Q3,9.03
ITA,2001-Q4,8.87
ITA,2002-Q1,8.53
ITA,2002-Q2,8.83
ITA,2002-Q3,8.6
ITA,2002-Q4,8.47
ITA,2003-Q1,8.73
ITA,2003-Q2,8.47
ITA,2003-Q3,8.4
ITA,2003-Q4,8.2
ITA,2004-Q1,8.2
ITA,2004-Q2,8.03
ITA,2004-Q3,7.83
ITA,2004-Q4,8.0
ITA,2005-Q1,7.9
ITA,2005-Q2,7.8
ITA,2005-Q3,7.67
ITA,2005-Q4,7.67
ITA,2006-Q1,7.33
ITA,2006-Q2,6.93
ITA,2006-Q3,6.67
ITA,2006-Q4,6.53
ITA,2007-Q1,6.17
ITA,2007-Q2,6.0
ITA,2007-Q3,6.23
ITA,2007-Q4,6.4
ITA,2008-Q1,6.57
ITA,2008-Q2,6.87
ITA,2008-Q3,6.73
ITA,2008-Q4,6.97
ITA,2009-Q1,7.47
ITA,2009-Q2,7.57
ITA,2009-Q3,8.03
ITA,2009-Q4,8.37
ITA,2010-Q1,8.6
ITA,2010-Q2,8.67
ITA,2010-Q3,8.37
ITA,2010-Q4,8.4
ITA,2011-Q1,8.13
ITA,2011-Q2,8.17
ITA,2011-Q3,8.63
ITA,2011-Q4,9.37
ITA,2012-Q1,10.2
ITA,2012-Q2,10.73
ITA,2012-Q3,11.03
ITA,2012-Q4,11.67
ITA,2013-Q1,12.07
ITA,2013-Q2,12.33
ITA,2013-Q3,12.43
ITA,2013-Q4,12.57
ITA,2014-Q1,12.9
ITA,2014-Q2,12.57
ITA,2014-Q3,12.77
ITA,2014-Q4,12.9
ITA,2015-Q1,12.5
ITA,2015-Q2,12.33
ITA,2015-Q3,11.63
ITA,2015-Q4,11.67
ITA,2016-Q1,11.63
ITA,2016-Q2,11.7
ITA,2016-Q3,11.7
ITA,2016-Q4,11.83
ITA,2017-Q1,11.6
ITA,2017-Q2,11.27
ITA,2017-Q3,11.33
ITA,2017-Q4,11.0
ITA,2018-Q1,10.93
ITA,2018-Q2,10.77
ITA,2018-Q3,10.23
ITA,2018-Q4,10.5
ITA,2019-Q1,10.37
ITA,2019-Q2,10.0
ITA,2019-Q3,9.6
ITA,2019-Q4,9.67
ITA,2020-Q1,8.9
ITA,2020-Q2,8.6
ITA,2020-Q3,10.13
ITA,2020-Q4,9.73
ITA,2021-Q1,10.17
ITA,2021-Q2,9.9
ITA,2021-Q3,9.1
ITA,2021-Q4,9.03
ITA,2022-Q1,8.4
ITA,2022-Q2,8.13
ITA,2022-Q3,8.03
ITA,2022-Q4,7.87
ITA,2023-Q1,7.87
ITA,2023-Q2,7.7
ITA,2023-Q3,7.7
ITA,2023-Q4,7.47
ITA,2024-Q1,7.1
ITA,2024-Q2,6.67
ITA,2024-Q3,6.27
ITA,2024-Q4,6.2
ITA,2025-Q1,6.37
ITA,2025-Q2,6.27
ITA,2025-Q3,5.97
ITA,2025-Q4,5.67
ITA,2026-Q1,5.27
JPN,2000-Q1,4.83
JPN,2000-Q2,4.7
JPN,2000-Q3,4.67
JPN,2000-Q4,4.73
JPN,2001-Q1,4.77
JPN,2001-Q2,4.9
JPN,2001-Q3,5.13
JPN,2001-Q4,5.37
JPN,2002-Q1,5.27
JPN,2002-Q2,5.4
JPN,2002-Q3,5.43
JPN,2002-Q4,5.33
JPN,2003-Q1,5.33
JPN,2003-Q2,5.43
JPN,2003-Q3,5.17
JPN,2003-Q4,5.03
JPN,2004-Q1,4.9
JPN,2004-Q2,4.73
JPN,2004-Q3,4.77
JPN,2004-Q4,4.53
JPN,2005-Q1,4.53
JPN,2005-Q2,4.43
JPN,2005-Q3,4.3
JPN,2005-Q4,4.43
JPN,2006-Q1,4.2
JPN,2006-Q2,4.13
JPN,2006-Q3,4.1
JPN,2006-Q4,4.03
JPN,2007-Q1,4.0
JPN,2007-Q2,3.77
JPN,2007-Q3,3.73
JPN,2007-Q4,3.83
JPN,2008-Q1,3.9
JPN,2008-Q2,3.97
JPN,2008-Q3,4.0
JPN,2008-Q4,4.07
JPN,2009-Q1,4.57
JPN,2009-Q2,5.1
JPN,2009-Q3,5.43
JPN,2009-Q4,5.2
JPN,2010-Q1,5.03
JPN,2010-Q2,5.13
JPN,2010-Q3,5.07
JPN,2010-Q4,5.0
JPN,2011-Q1,4.73
JPN,2011-Q2,4.67
JPN,2011-Q3,4.47
JPN,2011-Q4,4.47
JPN,2012-Q1,4.5
JPN,2012-Q2,4.4
JPN,2012-Q3,4.23
JPN,2012-Q4,4.17
JPN,2013-Q1,4.2
JPN,2013-Q2,4.03
JPN,2013-Q3,3.93
JPN,2013-Q4,3.87
JPN,2014-Q1,3.67
JPN,2014-Q2,3.63
JPN,2014-Q3,3.57
JPN,2014-Q4,3.47
JPN,2015-Q1,3.5
JPN,2015-Q2,3.37
JPN,2015-Q3,3.37
JPN,2015-Q4,3.27
JPN,2016-Q1,3.23
JPN,2016-Q2,3.17
JPN,2016-Q3,3.03
JPN,2016-Q4,3.0
JPN,2017-Q1,2.9
JPN,2017-Q2,2.87
JPN,2017-Q3,2.8
JPN,2017-Q4,2.7
JPN,2018-Q1,2.47
JPN,2018-Q2,2.37
JPN,2018-Q3,2.43
JPN,2018-Q4,2.47
JPN,2019-Q1,2.47
JPN,2019-Q2,2.33
JPN,2019-Q3,2.33
JPN,2019-Q4,2.3
JPN,2020-Q1,2.43
JPN,2020-Q2,2.73
JPN,2020-Q3,2.97
JPN,2020-Q4,3.07
JPN,2021-Q1,2.87
JPN,2021-Q2,2.9
JPN,2021-Q3,2.77
JPN,2021-Q4,2.73
JPN,2022-Q1,2.7
JPN,2022-Q2,2.6
JPN,2022-Q3,2.53
JPN,2022-Q4,2.53
JPN,2023-Q1,2.6
JPN,2023-Q2,2.53
JPN,2023-Q3,2.6
JPN,2023-Q4,2.53
JPN,2024-Q1,2.57
JPN,2024-Q2,2.57
JPN,2024-Q3,2.53
JPN,2024-Q4,2.5
JPN,2025-Q1,2.47
JPN,2025-Q2,2.5
JPN,2025-Q3,2.53
JPN,2025-Q4,2.6
JPN,2026-Q1,2.67
KOR,2000-Q1,4.77
KOR,2000-Q2,4.37
KOR,2000-Q3,4.27
KOR,2000-Q4,4.2
KOR,2001-Q1,4.57
KOR,2001-Q2,3.93
KOR,2001-Q3,3.73
KOR,2001-Q4,3.63
KOR,2002-Q1,3.5
KOR,2002-Q2,3.27
KOR,2002-Q3,3.13
KOR,2002-Q4,3.1
KOR,2003-Q1,3.33
KOR,2003-Q2,3.53
KOR,2003-Q3,3.63
KOR,2003-Q4,3.77
KOR,2004-Q1,3.6
KOR,2004-Q2,3.6
KOR,2004-Q3,3.67
KOR,2004-Q4,3.73
KOR,2005-Q1,3.77
KOR,2005-Q2,3.73
KOR,2005-Q3,3.73
KOR,2005-Q4,3.67
KOR,2006-Q1,3.53
KOR,2006-Q2,3.47
KOR,2006-Q3,3.5
KOR,2006-Q4,3.5
KOR,2007-Q1,3.27
KOR,2007-Q2,3.27
KOR,2007-Q3,3.23
KOR,2007-Q4,3.2
KOR,2008-Q1,3.0
KOR,2008-Q2,3.13
KOR,2008-Q3,3.2
KOR,2008-Q4,3.37
KOR,2009-Q1,3.37
KOR,2009-Q2,3.83
KOR,2009-Q3,3.77
KOR,2009-Q4,3.63
KOR,2010-Q1,4.1
KOR,2010-Q2,3.47
KOR,2010-Q3,3.67
KOR,2010-Q4,3.57
KOR,2011-Q1,3.63
KOR,2011-Q2,3.37
KOR,2011-Q3,3.3
KOR,2011-Q4,3.27
KOR,2012-Q1,3.3
KOR,2012-Q2,3.23
KOR,2012-Q3,3.2
KOR,2012-Q4,3.17
KOR,2013-Q1,3.1
KOR,2013-Q2,3.07
KOR,2013-Q3,3.13
KOR,2013-Q4,3.17
KOR,2014-Q1,3.4
KOR,2014-Q2,3.53
KOR,2014-Q3,3.5
KOR,2014-Q4,3.63
KOR,2015-Q1,3.53
KOR,2015-Q2,3.67
KOR,2015-Q3,3.63
KOR,2015-Q4,3.53
KOR,2016-Q1,3.7
KOR,2016-Q2,3.57
KOR,2016-Q3,3.8
KOR,2016-Q4,3.67
KOR,2017-Q1,3.67
KOR,2017-Q2,3.67
KOR,2017-Q3,3.77
KOR,2017-Q4,3.67
KOR,2018-Q1,3.7
KOR,2018-Q2,3.73
KOR,2018-Q3,4.17
KOR,2018-Q4,3.87
KOR,2019-Q1,3.83
KOR,2019-Q2,3.9
KOR,2019-Q3,3.73
KOR,2019-Q4,3.57
KOR,2020-Q1,3.57
KOR,2020-Q2,4.13
KOR,2020-Q3,4.1
KOR,2020-Q4,4.17
KOR,2021-Q1,4.23
KOR,2021-Q2,3.77
KOR,2021-Q3,3.27
KOR,2021-Q4,3.2
KOR,2022-Q1,2.97
KOR,2022-Q2,2.87
KOR,2022-Q3,2.9
KOR,2022-Q4,2.8
