country_code,quarter,unemployment_rate
KOR,2023-Q1,2.7
KOR,2023-Q2,2.57
KOR,2023-Q3,2.8
KOR,2023-Q4,2.73
KOR,2024-Q1,2.77
KOR,2024-Q2,2.8
KOR,2024-Q3,2.63
KOR,2024-Q4,2.9
KOR,2025-Q1,2.8
KOR,2025-Q2,2.7
KOR,2025-Q3,2.73
KOR,2025-Q4,2.93
KOR,2026-Q1,2.87
NLD,2000-Q1,3.87
NLD,2000-Q2,3.73
NLD,2000-Q3,3.57
NLD,2000-Q4,3.37
NLD,2001-Q1,3.2
NLD,2001-Q2,3.1
NLD,2001-Q3,3.1
NLD,2001-Q4,3.13
NLD,2002-Q1,3.3
NLD,2002-Q2,3.5
NLD,2002-Q3,3.8
NLD,2002-Q4,4.1
NLD,2003-Q1,5.43
NLD,2003-Q2,5.8
NLD,2003-Q3,6.1
NLD,2003-Q4,6.37
NLD,2004-Q1,6.6
NLD,2004-Q2,6.93
NLD,2004-Q3,6.73
NLD,2004-Q4,6.87
NLD,2005-Q1,7.1
NLD,2005-Q2,7.1
NLD,2005-Q3,6.93
NLD,2005-Q4,6.83
NLD,2006-Q1,6.43
NLD,2006-Q2,6.13
NLD,2006-Q3,5.93
NLD,2006-Q4,5.87
NLD,2007-Q1,5.63
NLD,2007-Q2,5.27
NLD,2007-Q3,5.23
NLD,2007-Q4,5.07
NLD,2008-Q1,4.8
NLD,2008-Q2,4.8
NLD,2008-Q3,4.73
NLD,2008-Q4,4.73
NLD,2009-Q1,4.9
NLD,2009-Q2,5.23
NLD,2009-Q3,5.6
NLD,2009-Q4,5.93
NLD,2010-Q1,6.2
NLD,2010-Q2,6.13
NLD,2010-Q3,6.1
NLD,2010-Q4,5.93
NLD,2011-Q1,5.8
NLD,2011-Q2,5.77
NLD,2011-Q3,6.07
NLD,2011-Q4,6.5
NLD,2012-Q1,6.53
NLD,2012-Q2,6.73
NLD,2012-Q3,6.83
NLD,2012-Q4,7.2
NLD,2013-Q1,7.7
NLD,2013-Q2,8.13
NLD,2013-Q3,8.5
NLD,2013-Q4,8.47
NLD,2014-Q1,8.67
NLD,2014-Q2,8.47
NLD,2014-Q3,8.1
NLD,2014-Q4,8.13
NLD,2015-Q1,8.17
NLD,2015-Q2,8.0
NLD,2015-Q3,7.73
NLD,2015-Q4,7.73
NLD,2016-Q1,7.43
NLD,2016-Q2,7.23
NLD,2016-Q3,6.83
NLD,2016-Q4,6.53
NLD,2017-Q1,6.3
NLD,2017-Q2,6.07
NLD,2017-Q3,5.77
NLD,2017-Q4,5.43
NLD,2018-Q1,5.1
NLD,2018-Q2,4.9
NLD,2018-Q3,4.87
NLD,2018-Q4,4.63
NLD,2019-Q1,4.47
NLD,2019-Q2,4.33
NLD,2019-Q3,4.47
NLD,2019-Q4,4.43
NLD,2020-Q1,4.07
NLD,2020-Q2,4.83
NLD,2020-Q3,5.47
NLD,2020-Q4,5.07
NLD,2021-Q1,4.67
NLD,2021-Q2,4.37
NLD,2021-Q3,4.13
NLD,2021-Q4,3.8
NLD,2022-Q1,3.43
NLD,2022-Q2,3.3
NLD,2022-Q3,3.73
NLD,2022-Q4,3.6
NLD,2023-Q1,3.53
NLD,2023-Q2,3.47
NLD,2023-Q3,3.63
NLD,2023-Q4,3.57
NLD,2024-Q1,3.63
NLD,2024-Q2,3.63
NLD,2024-Q3,3.67
NLD,2024-Q4,3.7
NLD,2025-Q1,3.83
NLD,2025-Q2,3.8
NLD,2025-Q3,3.9
NLD,2025-Q4,4.0
NLD,2026-Q1,4.03
SWE,2000-Q1,6.07
SWE,2000-Q2,5.77
SWE,2000-Q3,5.43
SWE,2000-Q4,5.1
SWE,2001-Q1,6.0
SWE,2001-Q2,5.87
SWE,2001-Q3,6.0
SWE,2001-Q4,6.07
SWE,2002-Q1,5.93
SWE,2002-Q2,5.93
SWE,2002-Q3,6.17
SWE,2002-Q4,6.3
SWE,2003-Q1,6.37
SWE,2003-Q2,6.47
SWE,2003-Q3,6.77
SWE,2003-Q4,7.2
SWE,2004-Q1,7.4
SWE,2004-Q2,7.57
SWE,2004-Q3,7.57
SWE,2004-Q4,7.53
SWE,2005-Q1,7.9
SWE,2005-Q2,8.03
SWE,2005-Q3,7.93
SWE,2005-Q4,7.8
SWE,2006-Q1,7.57
SWE,2006-Q2,7.43
SWE,2006-Q3,7.0
SWE,2006-Q4,6.67
SWE,2007-Q1,6.47
SWE,2007-Q2,6.17
SWE,2007-Q3,6.07
SWE,2007-Q4,6.17
SWE,2008-Q1,5.93
SWE,2008-Q2,6.1
SWE,2008-Q3,6.27
SWE,2008-Q4,6.8
SWE,2009-Q1,7.53
SWE,2009-Q2,8.47
SWE,2009-Q3,8.77
SWE,2009-Q4,8.93
SWE,2010-Q1,9.07
SWE,2010-Q2,8.9
SWE,2010-Q3,8.63
SWE,2010-Q4,8.23
SWE,2011-Q1,8.0
SWE,2011-Q2,7.9
SWE,2011-Q3,7.8
SWE,2011-Q4,7.87
SWE,2012-Q1,7.83
SWE,2012-Q2,7.97
SWE,2012-Q3,8.2
SWE,2012-Q4,8.3
SWE,2013-Q1,8.17
SWE,2013-Q2,8.17
SWE,2013-Q3,8.1
SWE,2013-Q4,8.07
SWE,2014-Q1,8.17
SWE,2014-Q2,8.1
SWE,2014-Q3,7.97
SWE,2014-Q4,7.93
SWE,2015-Q1,7.87
SWE,2015-Q2,7.73
SWE,2015-Q3,7.23
SWE,2015-Q4,7.2
SWE,2016-Q1,7.23
SWE,2016-Q2,7.0
SWE,2016-Q3,6.97
SWE,2016-Q4,7.03
SWE,2017-Q1,6.83
SWE,2017-Q2,6.83
SWE,2017-Q3,6.8
SWE,2017-Q4,6.73
SWE,2018-Q1,6.3
SWE,2018-Q2,6.37
SWE,2018-Q3,6.53
SWE,2018-Q4,6.63
SWE,2019-Q1,6.87
SWE,2019-Q2,6.53
SWE,2019-Q3,7.13
SWE,2019-Q4,7.13
SWE,2020-Q1,7.33
SWE,2020-Q2,8.6
SWE,2020-Q3,9.3
SWE,2020-Q4,8.87
SWE,2021-Q1,9.23
SWE,2021-Q2,9.2
SWE,2021-Q3,8.83
SWE,2021-Q4,8.27
SWE,2022-Q1,7.67
SWE,2022-Q2,7.7
SWE,2022-Q3,7.07
SWE,2022-Q4,7.5
SWE,2023-Q1,7.33
SWE,2023-Q2,7.5
SWE,2023-Q3,7.8
SWE,2023-Q4,8.03
SWE,2024-Q1,8.27
SWE,2024-Q2,8.33
SWE,2024-Q3,8.5
SWE,2024-Q4,8.33
SWE,2025-Q1,8.93
SWE,2025-Q2,8.67
SWE,2025-Q3,8.8
SWE,2025-Q4,9.03
SWE,2026-Q1,8.57
USA,2000-Q1,4.03
USA,2000-Q2,3.93
USA,2000-Q3,4.0
USA,2000-Q4,3.9
USA,2001-Q1,4.23
USA,2001-Q2,4.4
USA,2001-Q3,4.83
USA,2001-Q4,5.5
USA,2002-Q1,5.7
USA,2002-Q2,5.83
USA,2002-Q3,5.73
USA,2002-Q4,5.87
USA,2003-Q1,5.87
USA,2003-Q2,6.13
USA,2003-Q3,6.13
USA,2003-Q4,5.83
USA,2004-Q1,5.7
USA,2004-Q2,5.6
USA,2004-Q3,5.43
USA,2004-Q4,5.43
USA,2005-Q1,5.3
USA,2005-Q2,5.1
USA,2005-Q3,4.97
USA,2005-Q4,4.97
USA,2006-Q1,4.73
USA,2006-Q2,4.63
USA,2006-Q3,4.63
USA,2006-Q4,4.43
USA,2007-Q1,4.5
USA,2007-Q2,4.5
USA,2007-Q3,4.67
USA,2007-Q4,4.8
USA,2008-Q1,5.0
USA,2008-Q2,5.33
USA,2008-Q3,6.0
USA,2008-Q4,6.87
USA,2009-Q1,8.27
USA,2009-Q2,9.3
USA,2009-Q3,9.63
USA,2009-Q4,9.93
USA,2010-Q1,9.83
USA,2010-Q2,9.63
USA,2010-Q3,9.47
USA,2010-Q4,9.5
USA,2011-Q1,9.03
USA,2011-Q2,9.07
USA,2011-Q3,9.0
USA,2011-Q4,8.63
USA,2012-Q1,8.27
USA,2012-Q2,8.2
USA,2012-Q3,8.03
USA,2012-Q4,7.8
USA,2013-Q1,7.73
USA,2013-Q2,7.53
USA,2013-Q3,7.23
USA,2013-Q4,6.93
USA,2014-Q1,6.67
USA,2014-Q2,6.2
USA,2014-Q3,6.07
USA,2014-Q4,5.7
USA,2015-Q1,5.53
USA,2015-Q2,5.43
USA,2015-Q3,5.1
USA,2015-Q4,5.03
USA,2016-Q1,4.9
USA,2016-Q2,4.93
USA,2016-Q3,4.9
USA,2016-Q4,4.77
USA,2017-Q1,4.57
USA,2017-Q2,4.37
USA,2017-Q3,4.33
USA,2017-Q4,4.17
USA,2018-Q1,4.03
USA,2018-Q2,3.93
USA,2018-Q3,3.77
USA,2018-Q4,3.83
USA,2019-Q1,3.87
USA,2019-Q2,3.63
USA,2019-Q3,3.6
USA,2019-Q4,3.6
USA,2020-Q1,3.83
USA,2020-Q2,13.0
USA,2020-Q3,8.8
USA,2020-Q4,6.77
USA,2021-Q1,6.23
USA,2021-Q2,5.93
USA,2021-Q3,5.07
USA,2021-Q4,4.17
USA,2022-Q1,3.87
USA,2022-Q2,3.63
USA,2022-Q3,3.53
USA,2022-Q4,3.57
USA,2023-Q1,3.53
USA,2023-Q2,3.53
USA,2023-Q3,3.63
USA,2023-Q4,3.8
USA,2024-Q1,3.83
USA,2024-Q2,3.97
USA,2024-Q3,4.17
USA,2024-Q4,4.13
USA,2025-Q1,4.13
USA,2025-Q2,4.2
USA,2025-Q3,4.33
USA,2025-Q4,4.45
